title_primary,title_searchable,platform,platform_short,release_year,genre_primary,developer,alternative_names,series,folder_patterns
Tri Force Heroes,tri force heroes,3DS,3DS,2015,Action-Adventure,Nintendo EAD,TFH|Zelda TFH,The Legend of Zelda,tri.force.heroes|tfh|zelda.tfh
Breath of the Wild,breath of the wild,Wii U,WiiU,2017,Action-Adventure,Nintendo EPD,BOTW|Zelda 13,The Legend of Zelda,breath.of.the.wild|botw|zelda.13|zelda.botw
Breath of the Wild Switch,breath of the wild switch,Switch,Switch,2017,Action-Adventure,Nintendo EPD,BOTW Switch|Zelda 13 Switch,The Legend of Zelda,breath.of.the.wild.switch|botw.switch|zelda.13.switch
Tears of the Kingdom,tears of the kingdom,Switch,Switch,2023,Action-Adventure,Nintendo EPD,TOTK|TOTK|Zelda 14,The Legend of Zelda,tears.of.the.kingdom|totk|zelda.14|zelda.totk
Echoes of Wisdom,echoes of wisdom,Switch,Switch,2024,Action-Adventure,Nintendo EPD,EoW|EoW,The Legend of Zelda,echoes.of.wisdom|eow|zelda.eow
Hyrule Warriors,hyrule warriors,Wii U,WiiU,2014,Hack and Slash,Omega Force,HW|Zelda Warriors,The Legend of Zelda,hyrule.warriors|hw|zelda.warriors
Hyrule Warriors Legends,hyrule warriors legends,3DS,3DS,2016,Hack and Slash,Omega Force,HWL|Zelda Warriors 3DS,The Legend of Zelda,hyrule.warriors.legends|hwl|zelda.warriors.legends
Hyrule Warriors Definitive Edition,hyrule warriors definitive edition,Switch,Switch,2018,Hack and Slash,Omega Force,HW DE|Zelda Warriors DE,The Legend of Zelda,hyrule.warriors.definitive.edition|hw.de|zelda.warriors.de
Hyrule Warriors Age of Calamity,hyrule warriors age of calamity,Switch,Switch,2020,Hack and Slash,Omega Force,HW AoC|Zelda Warriors AoC|AoC,The Legend of Zelda,hyrule.warriors.age.of.calamity|hw.aoc|aoc|age.of.calamity|zelda.warriors.aoc
Cadence of Hyrule,cadence of hyrule,Switch,Switch,2019,Rhythm,B Brace Yourself,Cadence,Cadence of Hyrule,cadence.of.hyrule|cadence|coz
NES Remix,nes remix,Wii U,WiiU,2013,Compilation,Nintendo EAD,,NES Remix,nes.remix
NES Remix 2,nes remix 2,Wii U,WiiU,2014,Compilation,Nintendo,,NES Remix,nes.remix.2
Ultimate NES Remix,ultimate nes remix,3DS,3DS,2014,Compilation,Nintendo,,NES Remix,ultimate.nes.remix
NES Remix Pack,nes remix pack,Wii U,WiiU,2014,Compilation,Nintendo,,NES Remix,nes.remix.pack
Super Mario 3D All-Stars,super mario 3d all stars,Switch,Switch,2020,Compilation,Nintendo EPD,Mario 3D All-Stars,Super Mario,super.mario.3d.all.stars|3d.all.stars|sm3das
Super Mario All-Stars,super mario all stars,SNES,SNES,1993,Compilation,Nintendo EAD,Mario All-Stars,Super Mario,super.mario.all.stars|mario.all.stars|smb.all.stars
Super Mario All-Stars Limited Edition,super mario all stars limited edition,Wii,Wii,2010,Compilation,Nintendo EAD,Mario All-Stars Wii|25th Anniversary,Super Mario,super.mario.all.stars.limited.edition|mario.all.stars.wii|25th.anniversary
Super Mario Bros 35,super mario bros 35,Switch,Switch,2020,Battle Royale,Arika,SMB35,Super Mario,super.mario.bros.35|smb35
Super Mario Bros Deluxe,super mario bros deluxe,GBC,GBC,1999,Platformer,Nintendo,SMB Deluxe|SMBDX,Super Mario,super.mario.bros.deluxe|smb.deluxe|smbdx
Super Mario Advance,super mario advance,GBA,GBA,2001,Platformer,Nintendo R&D2,SMA1|SMA|Super Mario Bros 2 GBA,Super Mario,super.mario.advance|sma|sma1|super.mario.advance.1|smb2.gba
Super Mario World Super Mario Advance 2,super mario world advance 2,GBA,GBA,2001,Platformer,Nintendo R&D2,SMA2|Super Mario World GBA,Super Mario,super.mario.world.super.mario.advance.2|sma2|super.mario.advance.2|smw.sma2|smw.gba
Yoshis Island Super Mario Advance 3,yoshis island super mario advance 3,GBA,GBA,2002,Platformer,Nintendo R&D2,SMA3|Yoshis Island GBA,Super Mario,yoshis.island.super.mario.advance.3|sma3|super.mario.advance.3|yi.sma3|yi.gba
Super Mario Bros 3 Super Mario Advance 4,super mario bros 3 super mario advance 4,GBA,GBA,2003,Platformer,Nintendo R&D2,SMA4|SMB3 GBA,Super Mario,super.mario.bros.3.super.mario.advance.4|sma4|super.mario.advance.4|smb3.sma4|smb3.gba
Super Mario 64 DS,super mario 64 ds,DS,DS,2004,Platformer,Nintendo EAD,SM64DS|Super Mario 64 DS Remake,Super Mario,super.mario.64.ds|sm64ds|mario.64.ds
New Super Mario Bros,new super mario bros,DS,DS,2006,Platformer,Nintendo EAD,NSMB1|NSMB,Super Mario,new.super.mario.bros|nsmb|nsmb1
New Super Mario Bros Wii,new super mario bros wii,Wii,Wii,2009,Platformer,Nintendo EAD,NSMB Wii,Super Mario,new.super.mario.bros.wii|nsmb.wii|nsmbwii|nsmbw
New Super Mario Bros 2,new super mario bros 2,3DS,3DS,2012,Platformer,Nintendo EAD,NSMB2,Super Mario,new.super.mario.bros.2|nsmb2
New Super Mario Bros U,new super mario bros u,Wii U,WiiU,2012,Platformer,Nintendo EAD,NSMBU,Super Mario,new.super.mario.bros.u|nsmbu
New Super Luigi U,new super luigi u,Wii U,WiiU,2013,Platformer,Nintendo EAD,NSLU,Super Mario,new.super.luigi.u|nslu
New Super Mario Bros U Deluxe,new super mario bros u deluxe,Switch,Switch,2019,Platformer,Nintendo,NSMBU Deluxe,Super Mario,new.super.mario.bros.u.deluxe|nsmbu.deluxe
Super Mario 3D Land,super mario 3d land,3DS,3DS,2011,Platformer,Nintendo EAD,SM3DL,Super Mario,super.mario.3d.land|sm3dl
Super Mario 3D World,super mario 3d world,Wii U,WiiU,2013,Platformer,Nintendo EAD,SM3DW,Super Mario,super.mario.3d.world|sm3dw
Super Mario 3D World Bowsers Fury,super mario 3d world bowsers fury,Switch,Switch,2021,Platformer,Nintendo EPD,SM3DW+BF|3D World Switch,Super Mario,super.mario.3d.world.bowsers.fury|sm3dw.bowsers.fury|sm3dw.bf|3d.world.switch|bowsers.fury
Super Mario Maker,super mario maker,Wii U,WiiU,2015,Platformer,Nintendo EAD,SMM1|SMM,Super Mario,super.mario.maker|smm|smm1|mario.maker
Super Mario Maker 2,super mario maker 2,Switch,Switch,2019,Platformer,Nintendo EPD,SMM2,Super Mario,super.mario.maker.2|smm2|mario.maker.2
Super Mario Run,super mario run,Mobile,Mobile,2016,Auto-runner,Nintendo EPD,SMR,Super Mario,super.mario.run|smr|mario.run
Super Mario Party,super mario party,Switch,Switch,2018,Party,NDcube|SND,Super Mario Party Switch,Super Mario,super.mario.party|smp
Super Mario Party Jamboree,super mario party jamboree,Switch,Switch,2024,Party,NDcube|SND,SMP Jamboree|Party Jamboree,Super Mario,super.mario.party.jamboree|smp.jamboree|jamboree
Super Mario Odyssey,super mario odyssey,Switch,Switch,2017,Platformer,Nintendo EPD,Mario Odyssey|SMO,Super Mario,super.mario.odyssey|smo|mario.odyssey
Mario Kart Tour,mario kart tour,Mobile,Mobile,2019,Racing,Nintendo EPD,MKT,Super Mario,mario.kart.tour|mkt
Mario Kart Live Home Circuit,mario kart live home circuit,Switch,Switch,2020,Racing,Velan Studios,MK Live,Super Mario,mario.kart.live.home.circuit|mk.live|mario.kart.live
Mario Clash,mario clash,VB,VB,1995,Platformer,Nintendo R&D1,,Super Mario,mario.clash|marioclash
Virtual Boy Wario Land,virtual boy wario land,VB,VB,1995,Platformer,Nintendo R&D1,Wario Land VB,Wario Land,virtual.boy.wario.land|wario.land.vb|vb.wario.land
Marios Tennis,marios tennis,VB,VB,1995,Sports,Nintendo R&D1,Mario Tennis VB,Mario Tennis,marios.tennis|mario.tennis.vb|mario.vb.tennis
Teleroboxer,teleroboxer,VB,VB,1995,Fighting,Nintendo,,Virtual Boy,teleroboxer
Red Alarm,red alarm,VB,VB,1995,Shooter,Nintendo,,Virtual Boy,red.alarm
3D Tetris,3d tetris,VB,VB,1996,Puzzle,T&E Soft,Tetris 3D|VB Tetris,Virtual Boy,3d.tetris|tetris.3d|vb.tetris
Panic Bomber,panic bomber,VB,VB,1995,Puzzle,Hudson Soft,Bomberman Panic,Virtual Boy,panic.bomber|bomberman.panic
Marios Virtual Bowling,marios virtual bowling,VB,VB,1995,Sports,Nintendo R&D1,Virtual Bowling VB,Mario,marios.virtual.bowling|virtual.bowling.vb
Vertical Force,vertical force,VB,VB,1995,Shooter,Hudson Soft,,Virtual Boy,vertical.force
Space Squash,space squash,VB,VB,1995,Sports,Coconuts Japan,,Virtual Boy,space.squash
Space Invaders Virtual Collection,space invaders virtual collection,VB,VB,1995,Shooter,Taito,Space Invaders VB,Virtual Boy,space.invaders.virtual.collection|space.invaders.vb
V-Tetris,v tetris,VB,VB,1995,Puzzle,Bullet Proof,,Virtual Boy,v.tetris|v.tetris
Galactic Pinball,galactic pinball,VB,VB,1995,Pinball,Intelligent Systems,Pinball VB,Virtual Boy,galactic.pinball|pinball.vb
Jack Bros,jack bros,VB,VB,1995,Action,Atlus,Jack Brothers,Virtual Boy,jack.bros|jack.brothers
Waterworld,waterworld,VB,VB,1995,Action,Ocean,,Virtual Boy,waterworld
Nesters Funky Bowling,nesters funky bowling,VB,VB,1996,Sports,Nintendo,Nester Bowling,Virtual Boy,nesters.funky.bowling|nesters.bowling
Mario Pinball Land,mario pinball land,GBA,GBA,2004,Pinball,Fuse Games,Super Mario Ball,Super Mario,mario.pinball.land|super.mario.ball
Yoshis Safari,yoshis safari,SNES,SNES,1993,Rail Shooter,Nintendo,Yoshi Safari,Super Mario,yoshis.safari|yoshi.safari
Mario Paint,mario paint,SNES,SNES,1992,Creative,Nintendo R&D1,,Super Mario,mario.paint|mariopaint
Mario is Missing,mario is missing,SNES,SNES,1993,Educational,Software Toolworks,,Super Mario,mario.is.missing
Marios Time Machine,marios time machine,SNES,SNES,1993,Educational,Software Toolworks,,Super Mario,marios.time.machine|mario.time.machine
Marios Early Years,marios early years,SNES,SNES,1994,Educative,Nintendo,Mario Early Learning,Super Mario,marios.early.years|mario.early.years
Yoshis Cookie,yoshis cookie,NES,NES,1992,Puzzle,Nintendo,,Super Mario,yoshis.cookie|yoshi.cookie
Yoshis Safari,yoshis safari,SNES,SNES,1993,Rail Shooter,Nintendo,,Super Mario,yoshis.safari|yoshi.safari
Undertale,undertale,PC,PC,2015,RPG,Toby Fox,,Undertale,undertale
Deltarune,deltarune,PC,PC,2018,RPG,Toby Fox,,Undertale,deltarune
Five Nights at Freddys,five nights at freddys,PC,PC,2014,Horror,Scott Cawthon,FNAF 1,Five Nights at Freddys,fnaf|five.nights.at.freddys|fnaf1|freddys
Five Nights at Freddys 2,five nights at freddys 2,PC,PC,2014,Horror,Scott Cawthon,FNAF 2,Five Nights at Freddys,fnaf2|five.nights.at.freddys.2
Five Nights at Freddys 3,five nights at freddys 3,PC,PC,2015,Horror,Scott Cawthon,FNAF 3,Five Nights at Freddys,fnaf3|five.nights.at.freddys.3
Five Nights at Freddys 4,five nights at freddys 4,PC,PC,2015,Horror,Scott Cawthon,FNAF 4,Five Nights at Freddys,fnaf4|five.nights.at.freddys.4
Five Nights at Freddys Sister Location,five nights at freddys sister location,PC,PC,2016,Horror,Scott Cawthon,FNAF 5|FNAF SL,Five Nights at Freddys,fnaf5|fnaf.sl|sister.location|five.nights.at.freddys.sister.location
Freddy Fazbears Pizzeria Simulator,freddy fazbears pizzeria simulator,PC,PC,2017,Simulation,Scott Cawthon,FNAF 6|FFPS,Five Nights at Freddys,fnaf6|ffps|freddy.fazbears.pizzeria.simulator
Ultimate Custom Night,ultimate custom night,PC,PC,2018,Horror,Scott Cawthon,FNAF UCN,Five Nights at Freddys,ucn|ultimate.custom.night|fnaf.ucn
Five Nights at Freddys Help Wanted,five nights at freddys help wanted,PS4,PS4,2019,Horror,Steel Wool Studios,FNAF VR|FNAF HW,Five Nights at Freddys,fnaf.hw|fnaf.vr|help.wanted
Five Nights at Freddys Security Breach,five nights at freddys security breach,PS5,PS5,2021,Horror,Steel Wool Studios,FNAF 8|FNAF SB,Five Nights at Freddys,fnaf8|fnaf.sb|security.breach
Five Nights at Freddys Into the Pit,five nights at freddys into the pit,PC,PC,2024,Horror,Mega Cat Studios,FNAF 9|FNAF Into the Pit,Five Nights at Freddys,fnaf9|fnaf.into.the.pit|into.the.pit
FNAF World,fnaf world,PC,PC,2016,RPG,Scott Cawthon,,Five Nights at Freddys,fnaf.world|fnafland
Freddy in Space 2,freddy in space 2,PC,PC,2019,Shooter,Scott Cawthon,,Five Nights at Freddys,freddy.in.space.2
Security Breach Fury Rage,security breach fury rage,PC,PC,2021,Arcade,Steel Wool Studios,SB FR,Five Nights at Freddys,security.breach.fury.rage|sb.fr|fury.rage
